Customer_ID,Customer_Name,Email,Phone,Age,Gender,City,State,Country,Join_Date,Last_Purchase_Date,Customer_Segment,Annual_Income,Transaction_Count,Customer_Score
CUST000001,Kalpit Bora,invalid_email,123,999,Male,,Uttar Pradesh,India,2017-05-12,2023-11-02,,,100000,90
CUST000001,Frado Varghese,invalid_email,123,28,Female,,Tamil Nadu,India,2021-03-18,2024-12-23,,9999999999.0,100000,97
CUST000001,Falguni Dyal,invalid_email,123,999,Other,Delhi,Delhi,India,2022-10-29,2022-04-26,Standard,9999999999.0,100000,69
CUST000001,Gaurang Bhandari,invalid_email,123,999,Other,,Rajasthan,India,2023-01-03,2024-02-16,,9999999999.0,100000,61
CUST000001,Vasana Bassi,invalid_email,123,999,Female,,Delhi,India,2020-08-12,2025-07-20,,9999999999.0,100000,6
CUST000001,Eshana Zachariah,invalid_email,123,999,Male,,Delhi,India,2025-03-13,2025-05-31,,9999999999.0,100000,78
CUST000001,Vamakshi Pai,invalid_email,,18,Female,,Karnataka,India,2026-06-16,2026-06-18,,9999999999.0,100000,97
CUST000001,Keya Bora,invalid_email,123,999,Other,,Telangana,India,2022-12-29,2025-06-10,,9999999999.0,100000,74
CUST000001,Jonathan Ramanathan,invalid_email,123,999,Female,,Uttar Pradesh,India,2018-04-25,2020-03-19,,,100000,48
CUST000001,Qabil Reddy,invalid_email,123,999,Female,,Maharashtra,India,2019-07-10,2025-07-12,,9999999999.0,100000,23
CUST000001,Faraj Sandal,invalid_email,123,999,Other,,West Bengal,India,2018-08-22,2019-12-05,,9999999999.0,100000,87
CUST000001,Samaksh Sachdeva,,123,20,Male,,Delhi,India,2023-01-17,2025-05-20,,9999999999.0,100000,58
CUST000001,Mohammed Char,invalid_email,123,999,Other,,Karnataka,India,2017-10-15,2022-05-29,,9999999999.0,100000,83
CUST101763,Radhika Dayal,invalid_email,123,999,Male,,Tamil Nadu,India,2018-06-14,2022-01-16,,,100000,84
CUST000001,Charvi Nagar,invalid_email,123,999,Other,,West Bengal,India,2023-09-17,2024-02-07,,,100000,51
CUST19293,Zehaan Mitter,invalid_email,123,999,Male,,West Bengal,India,2018-02-19,2020-07-07,,9999999999.0,100000,35
CUST000001,Nachiket Ahluwalia,invalid_email,123,66,Other,,Tamil Nadu,India,2025-10-14,2026-01-29,,9999999999.0,100000,82
CUST29561,Abhimanyu Verma,invalid_email,123,999,Female,,Tamil Nadu,India,2022-06-10,2022-07-14,,9999999999.0,100000,5
